"Describe a past experience you've had that involved conflict with a family member, friend, or significant other. Be as detailed as you like.","Contrary to the previous question, describe a past experience you've had that did not involve conflict with a family member, friend or significant other. Be as detailed as you like."
"No conflicts in recent memory - I am pretty easy-going and try to talk out concerns.  No fights, verbal or physical, and no real issues.  Closest thing I can come up with is deciding to leave a Government job after I found out the previous year's effort had been wasted due to miscommunication and/or not being given critical information.  No anger, just disappointment.","Sold an old sports car to someone from out of town where they did not test-drive the car.  Just loaded it on a trailer and drove home 4 hours.  I was honest, but there can always be conflicts of different expectations.  Happily, the buyer was very pleased with the car and has contacted me several times since."
"Due to the differences in values, my parents always want to impose the experience and thoughts of their generation on me, and then they will cause disharmonious quarrels, such as money, opinions on the meaning of life, and social interaction. After that, I gave up and avoided too much communication with them for a long time.This is the problem of the past and the problem of the present. I have been trying to prove my point of view through actions in recent years to change their thinking.","When I spent my school life, I met the 3D industry, which brought meaning to my life and was undoubtedly a great surprise. In the past, I always struggled with the level of painting. After combining with computer art, many of my ideas and ideas in the past can be realized. There is nothing special. I think this is the biggest turning point in my life."
When I was in Mumbai for a short trip I fought with my family over where to eat out.,I agreed with my friends over the fact that our Student Council was terrible!
"A few days ago I had a conflict. I was finishing dinner and my parents were also having dinner. I finished eating and I wanted to answer a message to my partner in chat because he was feeling bad. My parents at that time began to question my use of the cell phone, saying that I used it a lot. Previously it was in my grandmother's house and I used it to draw. Drawing on the cell phone, it is easy and practical.But I have a visual problem since birth so I always wear glasses. They scolded me about my answers, I wanted to help my partner or girlfriend, I told them that I draw a lot to improve and be a good artist, practice until exhaustion to be great. But my mom answered me ""so if I wasn't good at drawing, I should stop."" For me, drawing is everything, but what he said hurt me. And I left that place, I wanted to sleep or cry in my room but they stopped me. I insisted on leaving but the only thing that happened was that I hit myself on the head and screamed, I hurt myself and said hurtful things to myself. it was a shock.That didn't happen unless I was drunk.","I do not know what to choose. But before that my brother gave me a tablet for my birthday to draw on my monitor. I felt vulnerable, as if I received a lot of support, but I didn't know how to use it. I felt like Van Gogh and his brother. It's funny I always tell that and at the end I say that I will be recognized when I die. But I do not think so."
"As a scholar and practitioner of holistic self-awareness, I use the valuable empirical and psychological tool called the Enneagram. My sister is an 8 and she would rather be right than have a family. I am a 7 and I love her very much for being older than me and having participated in my childhood as a very powerful female reference. I am currently 51 years old and she is 64. I have gone through a spiritual awakening to the point that I have the gift of healing at Pachita levels, as Jacobo Grinberg explains, but without blood. The thing is that 11 days ago we had a strong discussion by audio message on Whatsapp in which I told her everything I think of her from love but shouting a lot. I was very relieved but she does not interpret or understand anything I say to her, believing that my mind is disturbed because she only spoke to her of Love and acceptance.",I have accepted that my 89-year-old mother has taken 4 doses of a global pharmaceutical experiment to try to change human DNA and that in the process she eliminates part of the useless human beings according to an elite that controls us and I embraced her with all my love that a son can give to a woman who agreed with me to come to this dimensional plane called earth to have the roles of mother and son. The embrace of love and acceptance comforted us and incidentally I healed her spine because I saw a strange flash in her aura.
"I don't honestly know if I've had any conflicts wit my family in the past, but I do happen to be in conflict sometimes with my brother.",My father promised that he'd take me to the Queen Mary in Long Beach as a Graduation Present.
"Am the last of 4 kids, 3 men and a lady. Our matriarch passed away a few years ago and according to our culture everything that belonged to our mother is passed on to the last born, being me. One of the things she left us was a lucrative rental property and since she passed I never benefited from it at all, my immediate brother took everything over and was the one getting the financial windfall. Fate would have it that he had to go to the USA permanently and so he had to leave the management to me. But he schemed with my sister and pulled the rug from under my feet and the management of the property went to my sister. My issue was… no one bothered to let me know. I had never expressed the intention of getting anything that belonged to our mum, my view was always “everything belongs to everyone “, and I felt betrayed and hurt. I would have gladly handed over the management of the property to my sister without any reservations. If we were to stand before society and the law I would win hands down but I won’t fight for something that was meant for family and family doesn’t consist of one person.","I was previously single, living in a block of flats that also had families in it. Kids loved me and I love kids too… their simplicity and honesty is quite refreshing. But their parents liking me was another story. So one day this kid stops me and says hi, I say hi back and she says “my mum told me not to say hi to you but you’re my friend, this is what I’ll do.. I’ll say hi the run away before Mum sees me “.
It touched my heart. If you don’t like me, kindly don’t involve the child in your hate, she’s innocent. We’ve always clashed with that neighbor till the present."
Got into a fight because of my sexuality ,Bonding over smores :) 
Varies from whatever past experiences I went through some are really really stupid others let's just say I learned from them the hard way ,"Being a idiot/ass of myself and screwing with people who can give me a quote ""run for my money"" with or without me realizing it"
"I was in a past abusive relationship, today I reflect back on it and wonder what on earth I thought, but indeed I'm amused,at how we as humans think we can change people into whom we want them to be or how we would like them to behave.. I went out clubbing on my own and came home a bit later than usual. I was not aware that one of his friends had seen  me dancing with another man in the club and had called him and rold him., I was not really flirting but did like the company . Nothing happened with this guy at rhe end of the night i left and went home. When I opened the front door to our apartment, he was waiting for me, however, on the way home I had stopped at a seven eleven to buy him, his favorite snacks and soft drinks. He immediately accused me of being inconsiderate of his feelings and even daring to arrive home later then agreed time. I was merely defending myself from his horrible words,he swore me and called me all sorts of horrid names. I moved into our kitchen to get away from him, I did not feel safe, he followed me and this crazy person, grabbed me by my hair, I screamed and shoved him away from me. He slapped me through my face so hard, that i hit the floor and then he jumped on the side of my head, I was scared, hurt and dazed. I begged him to stop but he didn't. He slapped me again kicked me  until i screamed for help, he then stopped and left me there. I crawled to our guest bedroom and lay on the floor bruised and Hurt, I was so angry and felt so helpless that I smashed the hi fi system we had in this bedroom ,he came in and knelt beside me and ordered me to come to bed, I had no choice,he had locked the front door,  he then ordered me to hold him which I did and told me I was his....that was the night I knew I had to get away and thank God I did eventually. I am now happy and free.","I accompanied a friend of mine to one of the most hip and well known supper clubs in our city. It was a grand gevening, everyone was dressed in their finest and we got to meet various local celebrities, it was so amazing, one of the lady celebs we met was simply amazing and quite humble and down 2 earth.  We ended up partying the night away together but all the champagne made me pass out and I woke up the next day bit hungover at my friend's place but truly happy at the amazing event we attended."
I’m sensitive it’s hard to be around people even though I love them 😍 ,Wen I saw 👀 my wife in the club I was like fuck my life ima do whatever she wants 
"i was once ridiculed by my parents for my hobbies, the hobbies basically had nothing to do with going outside","i once would go every easter with my family and other family to a nature swamp park, it was really nice, but we stopped doing it since my family was more far away from the park than my cousins, meaning every time we would sleep really late after visiting the park"
"Back then, I used to fight with my parents.","Back in the days when I was a little girl, I dream of being the most talented artist in the world."
I had a small conflict with my friend the gravity of the matter was that he wanted to leave art and craft for a new hobby of cycling ,I had no conflicts with my mother while having conversation 
